date,advances,declines,totalVolume,totalTrades,buy_volume,sell_volume,breadth,breadth_ma5,breadth_momentum,total_vol,buy_ratio,sentiment_shift,volume_ma20,volume_ratio,breadth_vol,sentiment_vol,breadth_lag1,sentiment_lag1,breadth_lag3,sentiment_lag3,breadth_lag5,sentiment_lag5,target
2025-08-20,92,85,1900.579,190,0.0,0.0,0.03932584269662921,0.09253777974612298,0.1443258426966292,0.0,0.0,0.0,13511.473397599999,0.14065367191306138,0.2328309066432225,0.0,-0.105,0.0,0.2789875096717144,0.0,-0.4317767042404724,0.0,1
2025-08-20,5489,5297,33775.086872,11509,0.0,0.0,0.017799202744043757,0.04913834932598996,-0.021526639952585455,0.0,0.0,0.0,13715.092333600001,2.462442367004335,0.22561264170672043,0.0,0.03932584269662921,0.0,0.0145791915175613,0.0,0.23479635484470895,0.0,0
2025-08-20,4709,4400,25912.932129,9414,0.0,0.0,0.033918770581778265,0.0001246015080027363,0.016119567837734508,0.0,0.0,0.0,14850.77549005,1.7447699870201014,0.22584721992985737,0.0,0.017799202744043757,0.0,-0.105,0.0,0.2789875096717144,0.0,0
2025-08-20,688,812,5961.575743,1905,0.0,0.0,-0.08261159227181879,-0.01931355524987328,-0.11653036285359705,0.0,0.0,0.0,15033.558627199998,0.39652482595761246,0.22603151749749573,0.0,0.033918770581778265,0.0,0.03932584269662921,0.0,0.0145791915175613,0.0,2
2025-08-21,84,111,1556.730765,202,0.0,0.0,-0.1377551020408163,-0.02586457565803655,-0.055143509768997526,0.0,0.0,0.0,14704.323185649997,0.10586171723985746,0.1993182432175505,0.0,-0.08261159227181879,0.0,0.017799202744043757,0.0,-0.105,0.0,2
2025-08-21,498,932,4145.540215,1822,0.0,0.0,-0.30328441649196364,-0.09438662749575512,-0.16552931445114732,0.0,0.0,0.0,14649.426700200002,0.2829637866413411,0.17159019758140015,0.0,-0.1377551020408163,0.0,0.033918770581778265,0.0,0.03932584269662921,0.0,2
2025-08-21,2205,8758,31229.189499,11672,0.0,0.0,-0.5976833272528275,-0.21748313349512935,-0.29439891076086383,0.0,0.0,0.0,16130.14122515,1.9359566110741557,0.2348151576321924,0.0,-0.30328441649196364,0.0,-0.08261159227181879,0.0,0.017799202744043757,0.0,1
2025-08-21,1623,7715,25526.918518,9648,0.0,0.0,-0.6523182353571046,-0.35473053468290594,-0.05463490810427718,0.0,0.0,0.0,15978.541210899999,1.5974750577061325,0.2582881616843097,0.0,-0.5976833272528275,0.0,-0.1377551020408163,0.0,0.033918770581778265,0.0,1
2025-08-22,7066,1652,17684.991361,9012,0.0,0.0,0.6209427686661314,-0.2140196624953159,1.2732610040232362,0.0,0.0,0.0,15661.88560205,1.1291017383594593,0.35963326732143175,0.0,-0.6523182353571046,0.0,-0.30328441649196364,0.0,-0.08261159227181879,0.0,0
2025-08-22,975,393,3607.97074,1678,0.0,0.0,0.42512783053323594,-0.10144307598050543,-0.19581493813289547,0.0,0.0,0.0,14865.0868167,0.242698080839064,0.3985147893277543,0.0,0.6209427686661314,0.0,-0.5976833272528275,0.0,-0.1377551020408163,0.0,1
